time,source,destination,E/D-age-gender-origin,legal_status-employment-property_in_ukraine-sizeE-sizeD
11, germany, vinnytska, E-0-['female']-vinnytska, tp-True-1-2-2
11, germany, vinnytska, E-13-['male']-vinnytska, tp-True-1-2-2
11, germany, vinnytska, E-14-['male']-vinnytska, tp-True-1-2-2
11, germany, vinnytska, E-25-['female']-vinnytska, tp-True-1-2-2
11, italy, ivano-frankivska, E-36-['male']-ivano-frankivska, tp-True-5-2-1
11, italy, ivano-frankivska, E-26-['female']-ivano-frankivska, tp-True-5-2-1
11, italy, ivano-frankivska, E-19-['female']-ivano-frankivska, tp-True-5-2-1
11, france, khmelnytska, E-28-['male']-khmelnytska, tp-True-5-3-1
11, france, khmelnytska, E-18-['female']-khmelnytska, tp-True-5-3-1
11, france, khmelnytska, E-40-['female']-khmelnytska, tp-True-5-3-1
11, france, khmelnytska, E-23-['female']-khmelnytska, tp-True-5-3-1
12, slovakia, vinnytska, E-63-['male']-vinnytska, tp-True-0-1-0
12, france, khmelnytska, E-55-['male']-khmelnytska, tp-True-1-1-2
12, france, khmelnytska, E-38-['female']-khmelnytska, tp-True-1-1-2
12, france, khmelnytska, E-40-['male']-khmelnytska, tp-True-1-1-2
13, cyprus, mykolaivska, E-46-['female']-mykolaivska, tp-True-0-2-2
13, cyprus, mykolaivska, E-55-['female']-mykolaivska, tp-True-0-2-2
13, cyprus, mykolaivska, E-36-['male']-mykolaivska, tp-True-0-2-2
13, cyprus, mykolaivska, E-19-['female']-mykolaivska, tp-True-0-2-2
14, poland, kyivska, E-63-['male']-kyivska, tp-True-3-1-1
14, poland, kyivska, E-52-['female']-kyivska, tp-True-3-1-1
14, romania, ternopilska, E-14-['female']-ternopilska, tp-True-3-1-3
14, romania, ternopilska, E-34-['male']-ternopilska, tp-True-3-1-3
14, romania, ternopilska, E-43-['male']-ternopilska, tp-True-3-1-3
14, romania, ternopilska, E-6-['male']-ternopilska, tp-True-3-1-3
14, spain, ivano-frankivska, E-18-['female']-ivano-frankivska, tp-True-5-2-1
14, spain, ivano-frankivska, E-34-['female']-ivano-frankivska, tp-True-5-2-1
14, spain, ivano-frankivska, E-9-['female']-ivano-frankivska, tp-True-5-2-1
16, poland, kyivska, E-60-['male']-kyivska, tp-True-5-2-0
16, poland, kyivska, E-7-['female']-kyivska, tp-True-5-2-0
16, hungary, zaporizka, E-80-['male']-zaporizka, tp-True-0-3-1
16, hungary, zaporizka, E-35-['female']-zaporizka, tp-True-0-3-1
16, hungary, zaporizka, E-13-['female']-zaporizka, tp-True-0-3-1
16, hungary, zaporizka, E-82-['female']-zaporizka, tp-True-0-3-1
16, germany, vinnytska, E-26-['female']-vinnytska, tp-True-5-1-1
16, germany, vinnytska, E-57-['female']-vinnytska, tp-True-5-1-1
17, estonia, chernihivska, E-3-['female']-chernihivska, tp-True-0-2-0
17, estonia, chernihivska, E-8-['female']-chernihivska, tp-True-0-2-0
17, germany, vinnytska, E-67-['male']-vinnytska, tp-True-1-2-2
17, germany, vinnytska, E-24-['male']-vinnytska, tp-True-1-2-2
17, germany, vinnytska, E-45-['female']-vinnytska, tp-True-1-2-2
17, germany, vinnytska, E-88-['female']-vinnytska, tp-True-1-2-2
17, germany, vinnytska, E-5-['male']-vinnytska, tp-True-5-1-2
17, germany, vinnytska, E-30-['female']-vinnytska, tp-True-5-1-2
17, germany, vinnytska, E-33-['male']-vinnytska, tp-True-5-1-2
18, belgium, donetska, E-23-['female']-donetska, tp-True-1-1-2
18, belgium, donetska, E-63-['female']-donetska, tp-True-1-1-2
18, belgium, donetska, E-68-['female']-donetska, tp-True-1-1-2
19, czechia, lvivska, E-62-['female']-lvivska, tp-True-5-1-1
19, czechia, lvivska, E-25-['male']-lvivska, tp-True-5-1-1
19, czechia, lvivska, E-63-['female']-lvivska, tp-True-0-2-0
19, czechia, lvivska, E-2-['female']-lvivska, tp-True-0-2-0
19, germany, vinnytska, E-15-['female']-vinnytska, tp-True-3-1-2
19, germany, vinnytska, E-19-['female']-vinnytska, tp-True-3-1-2
19, germany, vinnytska, E-46-['male']-vinnytska, tp-True-3-1-2
20, poland, kyivska, E-2-['male']-kyivska, tp-True-5-4-0
20, poland, kyivska, E-8-['male']-kyivska, tp-True-5-4-0
20, poland, kyivska, E-42-['male']-kyivska, tp-True-5-4-0
20, poland, kyivska, E-3-['female']-kyivska, tp-True-5-4-0
20, germany, vinnytska, E-76-['female']-vinnytska, tp-True-2-2-0
20, germany, vinnytska, E-59-['female']-vinnytska, tp-True-2-2-0
21, czechia, lvivska, E-10-['female']-lvivska, tp-True-2-3-0
21, czechia, lvivska, E-26-['female']-lvivska, tp-True-2-3-0
21, czechia, lvivska, E-35-['male']-lvivska, tp-True-2-3-0
21, italy, ivano-frankivska, E-27-['female']-ivano-frankivska, tp-True-3-2-1
21, italy, ivano-frankivska, E-15-['female']-ivano-frankivska, tp-True-3-2-1
21, italy, ivano-frankivska, E-23-['female']-ivano-frankivska, tp-True-3-2-1
22, czechia, lvivska, E-50-['female']-lvivska, tp-True-5-1-0
22, austria, lvivska, E-50-['male']-lvivska, tp-True-5-2-1
22, austria, lvivska, E-4-['male']-lvivska, tp-True-5-2-1
22, austria, lvivska, E-69-['female']-lvivska, tp-True-5-2-1
22, portugal, kyiv, E-22-['female']-kyiv, tp-True-2-1-2
22, portugal, kyiv, E-53-['female']-kyiv, tp-True-2-1-2
22, portugal, kyiv, E-14-['male']-kyiv, tp-True-2-1-2
23, poland, kyivska, E-41-['female']-kyivska, tp-True-3-2-2
23, poland, kyivska, E-37-['male']-kyivska, tp-True-3-2-2
23, poland, kyivska, E-48-['male']-kyivska, tp-True-3-2-2
23, poland, kyivska, E-40-['male']-kyivska, tp-True-3-2-2
23, czechia, lvivska, E-3-['female']-lvivska, tp-True-2-4-0
23, czechia, lvivska, E-17-['male']-lvivska, tp-True-2-4-0
23, czechia, lvivska, E-54-['female']-lvivska, tp-True-2-4-0
23, czechia, lvivska, E-13-['female']-lvivska, tp-True-2-4-0
25, germany, vinnytska, E-25-['male']-vinnytska, tp-True-5-1-0
26, germany, vinnytska, E-84-['female']-vinnytska, tp-True-0-1-2
26, germany, vinnytska, E-62-['female']-vinnytska, tp-True-0-1-2
26, germany, vinnytska, E-38-['male']-vinnytska, tp-True-0-1-2
26, croatia, kharkivska, E-39-['male']-kharkivska, tp-True-5-2-1
26, croatia, kharkivska, E-10-['female']-kharkivska, tp-True-5-2-1
26, croatia, kharkivska, E-0-['female']-kharkivska, tp-True-5-2-1
27, poland, kyivska, E-14-['female']-kyivska, tp-True-5-3-2
27, poland, kyivska, E-2-['female']-kyivska, tp-True-5-3-2
27, poland, kyivska, E-48-['female']-kyivska, tp-True-5-3-2
27, poland, kyivska, E-32-['male']-kyivska, tp-True-5-3-2
27, poland, kyivska, E-43-['female']-kyivska, tp-True-5-3-2
27, latvia, donetska, E-19-['female']-donetska, tp-True-0-1-4
27, latvia, donetska, E-31-['female']-donetska, tp-True-0-1-4
27, latvia, donetska, E-34-['male']-donetska, tp-True-0-1-4
27, latvia, donetska, E-52-['female']-donetska, tp-True-0-1-4
27, latvia, donetska, E-36-['female']-donetska, tp-True-0-1-4
27, germany, vinnytska, E-74-['male']-vinnytska, tp-True-2-2-2
27, germany, vinnytska, E-19-['female']-vinnytska, tp-True-2-2-2
27, germany, vinnytska, E-15-['male']-vinnytska, tp-True-2-2-2
27, germany, vinnytska, E-32-['male']-vinnytska, tp-True-2-2-2
27, germany, vinnytska, E-18-['male']-vinnytska, tp-True-5-3-2
27, germany, vinnytska, E-40-['male']-vinnytska, tp-True-5-3-2
27, germany, vinnytska, E-58-['male']-vinnytska, tp-True-5-3-2
27, germany, vinnytska, E-59-['female']-vinnytska, tp-True-5-3-2
27, germany, vinnytska, E-47-['male']-vinnytska, tp-True-5-3-2
27, denmark, vinnytska, E-25-['male']-vinnytska, tp-True-0-3-1
27, denmark, vinnytska, E-75-['female']-vinnytska, tp-True-0-3-1
27, denmark, vinnytska, E-6-['female']-vinnytska, tp-True-0-3-1
27, denmark, vinnytska, E-81-['female']-vinnytska, tp-True-0-3-1
28, poland, kyivska, E-5-['male']-kyivska, tp-True-5-1-2
28, poland, kyivska, E-3-['female']-kyivska, tp-True-5-1-2
28, poland, kyivska, E-21-['male']-kyivska, tp-True-5-1-2
29, czechia, lvivska, E-28-['female']-lvivska, tp-True-5-2-1
29, czechia, lvivska, E-10-['male']-lvivska, tp-True-5-2-1
29, czechia, lvivska, E-64-['female']-lvivska, tp-True-5-2-1
31, slovakia, vinnytska, E-2-['male']-vinnytska, tp-True-5-3-0
31, slovakia, vinnytska, E-38-['female']-vinnytska, tp-True-5-3-0
31, slovakia, vinnytska, E-39-['female']-vinnytska, tp-True-5-3-0
32, poland, kyivska, E-26-['female']-kyivska, tp-True-5-2-1
32, poland, kyivska, E-44-['female']-kyivska, tp-True-5-2-1
32, poland, kyivska, E-15-['female']-kyivska, tp-True-5-2-1
33, romania, ternopilska, E-79-['female']-ternopilska, tp-True-5-1-1
33, romania, ternopilska, E-10-['male']-ternopilska, tp-True-5-1-1
34, lithuania, kyivska, E-9-['male']-kyivska, tp-True-5-3-1
34, lithuania, kyivska, E-29-['female']-kyivska, tp-True-5-3-1
34, lithuania, kyivska, E-21-['female']-kyivska, tp-True-5-3-1
34, lithuania, kyivska, E-27-['female']-kyivska, tp-True-5-3-1
34, netherlands, dnipropetrovska, E-3-['male']-dnipropetrovska, tp-True-5-1-3
34, netherlands, dnipropetrovska, E-58-['male']-dnipropetrovska, tp-True-5-1-3
34, netherlands, dnipropetrovska, E-14-['female']-dnipropetrovska, tp-True-5-1-3
34, netherlands, dnipropetrovska, E-77-['female']-dnipropetrovska, tp-True-5-1-3
35, poland, kyivska, E-49-['male']-kyivska, tp-True-5-2-1
35, poland, kyivska, E-14-['female']-kyivska, tp-True-5-2-1
35, poland, kyivska, E-54-['male']-kyivska, tp-True-5-2-1
36, poland, kyivska, E-17-['female']-kyivska, tp-True-5-1-0
36, portugal, kyiv, E-28-['female']-kyiv, tp-True-0-1-2
36, portugal, kyiv, E-40-['female']-kyiv, tp-True-0-1-2
36, portugal, kyiv, E-62-['female']-kyiv, tp-True-0-1-2
36, sweden, donetska, E-36-['male']-donetska, tp-True-5-2-2
36, sweden, donetska, E-24-['male']-donetska, tp-True-5-2-2
36, sweden, donetska, E-3-['male']-donetska, tp-True-5-2-2
36, sweden, donetska, E-14-['male']-donetska, tp-True-5-2-2
37, poland, kyivska, E-62-['female']-kyivska, tp-True-5-1-2
37, poland, kyivska, E-3-['male']-kyivska, tp-True-5-1-2
37, poland, kyivska, E-14-['male']-kyivska, tp-True-5-1-2
37, czechia, lvivska, E-51-['female']-lvivska, tp-True-3-1-3
37, czechia, lvivska, E-34-['female']-lvivska, tp-True-3-1-3
37, czechia, lvivska, E-22-['female']-lvivska, tp-True-3-1-3
37, czechia, lvivska, E-44-['female']-lvivska, tp-True-3-1-3
39, poland, kyivska, E-3-['female']-kyivska, tp-True-5-1-2
39, poland, kyivska, E-30-['female']-kyivska, tp-True-5-1-2
39, poland, kyivska, E-18-['female']-kyivska, tp-True-5-1-2
40, bulgaria, rivnenska, E-4-['female']-rivnenska, tp-True-5-1-2
40, bulgaria, rivnenska, E-70-['female']-rivnenska, tp-True-5-1-2
40, bulgaria, rivnenska, E-10-['male']-rivnenska, tp-True-5-1-2
43, poland, kyivska, E-18-['female']-kyivska, tp-True-5-3-0
43, poland, kyivska, E-4-['female']-kyivska, tp-True-5-3-0
43, poland, kyivska, E-13-['female']-kyivska, tp-True-5-3-0
