time,source,destination,E/D-age-gender-origin,legal_status-employment-property_in_ukraine-sizeE-sizeD
3, poland, vinnytska, E-28-f-vinnytska, tp-True-5-1-2
3, poland, vinnytska, E-6-f-vinnytska, tp-True-5-1-2
3, poland, vinnytska, E-4-f-vinnytska, tp-True-5-1-2
3, germany, donetska, E-37-f-donetska, tp-True-1-3-1
3, germany, donetska, E-16-f-donetska, tp-True-1-3-1
3, germany, donetska, E-24-m-donetska, tp-True-1-3-1
3, germany, donetska, E-12-m-donetska, tp-True-1-3-1
3, spain, dnipropetrovska, E-2-f-dnipropetrovska, tp-True-5-2-0
3, spain, dnipropetrovska, E-16-m-dnipropetrovska, tp-True-5-2-0
3, slovenia, donetska, E-38-f-donetska, tp-True-3-2-0
3, slovenia, donetska, E-73-f-donetska, tp-True-3-2-0
4, czechia, poltavska, E-20-m-poltavska, tp-True-5-1-1
4, czechia, poltavska, E-42-m-poltavska, tp-True-5-1-1
4, germany, donetska, E-78-f-donetska, tp-True-5-2-0
4, germany, donetska, E-18-f-donetska, tp-True-5-2-0
5, germany, donetska, E-58-f-donetska, tp-True-5-2-2
5, germany, donetska, E-1-m-donetska, tp-True-5-2-2
5, germany, donetska, E-10-f-donetska, tp-True-5-2-2
5, germany, donetska, E-29-f-donetska, tp-True-5-2-2
5, cyprus, kyivska, E-21-f-kyivska, tp-True-5-2-0
5, cyprus, kyivska, E-15-m-kyivska, tp-True-5-2-0
6, lithuania, rivnenska, E-17-f-rivnenska, tp-True-1-2-1
6, lithuania, rivnenska, E-21-f-rivnenska, tp-True-1-2-1
6, lithuania, rivnenska, E-11-m-rivnenska, tp-True-1-2-1
6, germany, donetska, E-51-f-donetska, tp-True-1-4-2
6, germany, donetska, E-41-m-donetska, tp-True-1-4-2
6, germany, donetska, E-23-f-donetska, tp-True-1-4-2
6, germany, donetska, E-21-f-donetska, tp-True-1-4-2
6, germany, donetska, E-80-f-donetska, tp-True-1-4-2
6, germany, donetska, E-2-m-donetska, tp-True-1-4-2
6, germany, donetska, E-21-f-donetska, tp-True-2-2-0
6, germany, donetska, E-25-f-donetska, tp-True-2-2-0
6, netherlands, zhytomyrska, E-17-f-zhytomyrska, tp-True-5-2-0
6, netherlands, zhytomyrska, E-57-f-zhytomyrska, tp-True-5-2-0
7, poland, vinnytska, E-5-f-vinnytska, tp-True-5-1-3
7, poland, vinnytska, E-19-f-vinnytska, tp-True-5-1-3
7, poland, vinnytska, E-44-f-vinnytska, tp-True-5-1-3
7, poland, vinnytska, E-41-m-vinnytska, tp-True-5-1-3
7, germany, donetska, E-11-m-donetska, tp-True-0-2-3
7, germany, donetska, E-60-m-donetska, tp-True-0-2-3
7, germany, donetska, E-15-f-donetska, tp-True-0-2-3
7, germany, donetska, E-22-f-donetska, tp-True-0-2-3
7, germany, donetska, E-45-f-donetska, tp-True-0-2-3
7, italy, vinnytska, E-59-m-vinnytska, tp-True-5-3-0
7, italy, vinnytska, E-60-f-vinnytska, tp-True-5-3-0
7, italy, vinnytska, E-87-m-vinnytska, tp-True-5-3-0
8, poland, vinnytska, E-10-m-vinnytska, tp-True-5-2-2
8, poland, vinnytska, E-49-m-vinnytska, tp-True-5-2-2
8, poland, vinnytska, E-31-f-vinnytska, tp-True-5-2-2
8, poland, vinnytska, E-4-m-vinnytska, tp-True-5-2-2
9, poland, vinnytska, E-4-f-vinnytska, tp-True-5-1-1
9, poland, vinnytska, E-21-f-vinnytska, tp-True-5-1-1
9, republic_of_moldova, zhytomyrska, E-58-f-zhytomyrska, tp-True-0-3-0
9, republic_of_moldova, zhytomyrska, E-79-f-zhytomyrska, tp-True-0-3-0
9, republic_of_moldova, zhytomyrska, E-7-f-zhytomyrska, tp-True-0-3-0
9, republic_of_moldova, zhytomyrska, E-7-f-zhytomyrska, tp-True-5-1-2
9, republic_of_moldova, zhytomyrska, E-81-m-zhytomyrska, tp-True-5-1-2
9, republic_of_moldova, zhytomyrska, E-19-f-zhytomyrska, tp-True-5-1-2
9, italy, vinnytska, E-45-m-vinnytska, tp-True-5-2-1
9, italy, vinnytska, E-62-m-vinnytska, tp-True-5-2-1
9, italy, vinnytska, E-13-f-vinnytska, tp-True-5-2-1
10, germany, donetska, E-12-m-donetska, tp-True-5-1-1
10, germany, donetska, E-9-f-donetska, tp-True-5-1-1
10, germany, donetska, E-37-f-donetska, tp-True-3-2-0
10, germany, donetska, E-33-f-donetska, tp-True-3-2-0
10, belgium, donetska, E-46-m-donetska, tp-True-1-1-2
10, belgium, donetska, E-19-f-donetska, tp-True-1-1-2
10, belgium, donetska, E-9-f-donetska, tp-True-1-1-2
11, poland, vinnytska, E-14-m-vinnytska, tp-True-2-2-0
11, poland, vinnytska, E-17-f-vinnytska, tp-True-2-2-0
11, republic_of_moldova, zhytomyrska, E-40-m-zhytomyrska, tp-True-5-1-0
11, czechia, poltavska, E-8-m-poltavska, tp-True-1-1-2
11, czechia, poltavska, E-36-m-poltavska, tp-True-1-1-2
11, czechia, poltavska, E-22-m-poltavska, tp-True-1-1-2
11, germany, donetska, E-13-f-donetska, tp-True-5-1-2
11, germany, donetska, E-36-f-donetska, tp-True-5-1-2
11, germany, donetska, E-43-f-donetska, tp-True-5-1-2
11, france, odeska, E-34-f-odeska, tp-True-2-4-0
11, france, odeska, E-22-m-odeska, tp-True-2-4-0
11, france, odeska, E-29-f-odeska, tp-True-2-4-0
11, france, odeska, E-60-f-odeska, tp-True-2-4-0
12, czechia, poltavska, E-30-f-poltavska, tp-True-2-2-0
12, czechia, poltavska, E-57-m-poltavska, tp-True-2-2-0
12, germany, donetska, E-47-m-donetska, tp-True-5-2-3
12, germany, donetska, E-25-f-donetska, tp-True-5-2-3
12, germany, donetska, E-26-f-donetska, tp-True-5-2-3
12, germany, donetska, E-60-f-donetska, tp-True-5-2-3
12, germany, donetska, E-61-f-donetska, tp-True-5-2-3
12, germany, donetska, E-29-m-donetska, tp-True-2-1-0
12, spain, dnipropetrovska, E-24-m-dnipropetrovska, tp-True-5-1-0
13, germany, donetska, E-15-f-donetska, tp-True-5-2-2
13, germany, donetska, E-6-m-donetska, tp-True-5-2-2
13, germany, donetska, E-20-m-donetska, tp-True-5-2-2
13, germany, donetska, E-30-f-donetska, tp-True-5-2-2
13, denmark, khmelnytska, E-43-f-khmelnytska, tp-True-1-1-1
13, denmark, khmelnytska, E-61-m-khmelnytska, tp-True-1-1-1
14, poland, vinnytska, E-30-f-vinnytska, tp-True-5-1-2
14, poland, vinnytska, E-1-m-vinnytska, tp-True-5-1-2
14, poland, vinnytska, E-30-f-vinnytska, tp-True-5-1-2
14, hungary, luhanska, E-50-f-luhanska, tp-True-5-4-2
14, hungary, luhanska, E-32-f-luhanska, tp-True-5-4-2
14, hungary, luhanska, E-36-f-luhanska, tp-True-5-4-2
14, hungary, luhanska, E-60-m-luhanska, tp-True-5-4-2
14, hungary, luhanska, E-26-f-luhanska, tp-True-5-4-2
14, hungary, luhanska, E-48-f-luhanska, tp-True-5-4-2
15, poland, vinnytska, E-11-f-vinnytska, tp-True-5-2-1
15, poland, vinnytska, E-17-m-vinnytska, tp-True-5-2-1
15, poland, vinnytska, E-15-f-vinnytska, tp-True-5-2-1
15, slovakia, kyiv, E-63-f-kyiv, tp-True-5-2-0
15, slovakia, kyiv, E-53-f-kyiv, tp-True-5-2-0
15, germany, donetska, E-67-m-donetska, tp-True-5-3-1
15, germany, donetska, E-30-f-donetska, tp-True-5-3-1
15, germany, donetska, E-8-f-donetska, tp-True-5-3-1
15, germany, donetska, E-25-f-donetska, tp-True-5-3-1
16, slovakia, kyiv, E-5-f-kyiv, tp-True-5-4-0
16, slovakia, kyiv, E-27-f-kyiv, tp-True-5-4-0
16, slovakia, kyiv, E-10-f-kyiv, tp-True-5-4-0
16, slovakia, kyiv, E-27-f-kyiv, tp-True-5-4-0
16, czechia, poltavska, E-0-f-poltavska, tp-True-3-2-4
16, czechia, poltavska, E-59-m-poltavska, tp-True-3-2-4
16, czechia, poltavska, E-20-f-poltavska, tp-True-3-2-4
16, czechia, poltavska, E-19-m-poltavska, tp-True-3-2-4
16, czechia, poltavska, E-6-f-poltavska, tp-True-3-2-4
16, czechia, poltavska, E-87-f-poltavska, tp-True-3-2-4
17, italy, vinnytska, E-57-f-vinnytska, tp-True-1-4-1
17, italy, vinnytska, E-64-f-vinnytska, tp-True-1-4-1
17, italy, vinnytska, E-38-f-vinnytska, tp-True-1-4-1
17, italy, vinnytska, E-14-m-vinnytska, tp-True-1-4-1
17, italy, vinnytska, E-21-f-vinnytska, tp-True-1-4-1
17, ireland, cherkaska, E-27-f-cherkaska, tp-True-5-3-0
17, ireland, cherkaska, E-26-f-cherkaska, tp-True-5-3-0
17, ireland, cherkaska, E-11-m-cherkaska, tp-True-5-3-0
18, netherlands, zhytomyrska, E-14-f-zhytomyrska, tp-True-5-1-3
18, netherlands, zhytomyrska, E-30-f-zhytomyrska, tp-True-5-1-3
18, netherlands, zhytomyrska, E-0-m-zhytomyrska, tp-True-5-1-3
18, netherlands, zhytomyrska, E-20-f-zhytomyrska, tp-True-5-1-3
19, latvia, lvivska, E-25-m-lvivska, tp-True-3-2-1
19, latvia, lvivska, E-10-m-lvivska, tp-True-3-2-1
19, latvia, lvivska, E-41-f-lvivska, tp-True-3-2-1
19, estonia, kyiv, E-22-m-kyiv, tp-True-5-3-0
19, estonia, kyiv, E-7-m-kyiv, tp-True-5-3-0
19, estonia, kyiv, E-34-f-kyiv, tp-True-5-3-0
20, france, odeska, E-66-f-odeska, tp-True-5-3-1
20, france, odeska, E-50-f-odeska, tp-True-5-3-1
20, france, odeska, E-63-f-odeska, tp-True-5-3-1
20, france, odeska, E-49-f-odeska, tp-True-5-3-1
22, spain, dnipropetrovska, E-5-f-dnipropetrovska, tp-True-5-1-3
22, spain, dnipropetrovska, E-53-f-dnipropetrovska, tp-True-5-1-3
22, spain, dnipropetrovska, E-63-f-dnipropetrovska, tp-True-5-1-3
22, spain, dnipropetrovska, E-30-f-dnipropetrovska, tp-True-5-1-3
23, poland, vinnytska, E-12-m-vinnytska, tp-True-1-2-1
23, poland, vinnytska, E-7-m-vinnytska, tp-True-1-2-1
23, poland, vinnytska, E-19-f-vinnytska, tp-True-1-2-1
24, poland, vinnytska, E-12-f-vinnytska, tp-True-1-1-0
24, czechia, poltavska, E-30-m-poltavska, tp-True-1-1-3
24, czechia, poltavska, E-25-m-poltavska, tp-True-1-1-3
24, czechia, poltavska, E-51-f-poltavska, tp-True-1-1-3
24, czechia, poltavska, E-22-m-poltavska, tp-True-1-1-3
24, germany, donetska, E-12-m-donetska, tp-True-5-1-3
24, germany, donetska, E-38-m-donetska, tp-True-5-1-3
24, germany, donetska, E-2-m-donetska, tp-True-5-1-3
24, germany, donetska, E-63-f-donetska, tp-True-5-1-3
25, sweden, volynska, E-20-m-volynska, tp-True-5-3-3
25, sweden, volynska, E-58-m-volynska, tp-True-5-3-3
25, sweden, volynska, E-43-f-volynska, tp-True-5-3-3
25, sweden, volynska, E-35-m-volynska, tp-True-5-3-3
25, sweden, volynska, E-29-m-volynska, tp-True-5-3-3
25, sweden, volynska, E-0-m-volynska, tp-True-5-3-3
26, slovakia, kyiv, E-60-f-kyiv, tp-True-0-1-0
26, germany, donetska, E-11-m-donetska, tp-True-5-1-2
26, germany, donetska, E-46-m-donetska, tp-True-5-1-2
26, germany, donetska, E-3-m-donetska, tp-True-5-1-2
26, croatia, poltavska, E-23-m-poltavska, tp-True-5-2-0
26, croatia, poltavska, E-12-f-poltavska, tp-True-5-2-0
26, finland, donetska, E-8-f-donetska, tp-True-5-3-1
26, finland, donetska, E-5-f-donetska, tp-True-5-3-1
26, finland, donetska, E-42-m-donetska, tp-True-5-3-1
26, finland, donetska, E-43-f-donetska, tp-True-5-3-1
28, romania, kyivska, E-52-m-kyivska, tp-True-5-3-1
28, romania, kyivska, E-3-m-kyivska, tp-True-5-3-1
28, romania, kyivska, E-4-f-kyivska, tp-True-5-3-1
28, romania, kyivska, E-14-m-kyivska, tp-True-5-3-1
28, italy, vinnytska, E-13-m-vinnytska, tp-True-3-2-1
28, italy, vinnytska, E-25-f-vinnytska, tp-True-3-2-1
28, italy, vinnytska, E-17-m-vinnytska, tp-True-3-2-1
28, portugal, khmelnytska, E-17-m-khmelnytska, tp-True-5-2-0
28, portugal, khmelnytska, E-25-f-khmelnytska, tp-True-5-2-0
29, czechia, poltavska, E-44-m-poltavska, tp-True-3-2-0
29, czechia, poltavska, E-54-f-poltavska, tp-True-3-2-0
30, bulgaria, kyiv, E-14-f-kyiv, tp-True-1-3-1
30, bulgaria, kyiv, E-28-f-kyiv, tp-True-1-3-1
30, bulgaria, kyiv, E-61-f-kyiv, tp-True-1-3-1
30, bulgaria, kyiv, E-22-m-kyiv, tp-True-1-3-1
30, greece, luhanska, E-45-m-luhanska, tp-True-0-2-1
30, greece, luhanska, E-52-f-luhanska, tp-True-0-2-1
30, greece, luhanska, E-33-m-luhanska, tp-True-0-2-1
31, poland, vinnytska, E-38-m-vinnytska, tp-True-5-2-3
31, poland, vinnytska, E-20-f-vinnytska, tp-True-5-2-3
31, poland, vinnytska, E-22-f-vinnytska, tp-True-5-2-3
31, poland, vinnytska, E-50-m-vinnytska, tp-True-5-2-3
31, poland, vinnytska, E-29-f-vinnytska, tp-True-5-2-3
32, poland, vinnytska, E-20-f-vinnytska, tp-True-5-4-0
32, poland, vinnytska, E-77-f-vinnytska, tp-True-5-4-0
32, poland, vinnytska, E-30-f-vinnytska, tp-True-5-4-0
32, poland, vinnytska, E-5-m-vinnytska, tp-True-5-4-0
33, poland, vinnytska, E-59-f-vinnytska, tp-True-5-2-0
33, poland, vinnytska, E-7-f-vinnytska, tp-True-5-2-0
35, romania, kyivska, E-0-f-kyivska, tp-True-5-3-2
35, romania, kyivska, E-13-f-kyivska, tp-True-5-3-2
35, romania, kyivska, E-19-m-kyivska, tp-True-5-3-2
35, romania, kyivska, E-31-m-kyivska, tp-True-5-3-2
35, romania, kyivska, E-59-m-kyivska, tp-True-5-3-2
35, lithuania, rivnenska, E-32-m-rivnenska, tp-True-5-1-1
35, lithuania, rivnenska, E-10-m-rivnenska, tp-True-5-1-1
37, germany, donetska, E-64-f-donetska, tp-True-3-2-0
37, germany, donetska, E-52-f-donetska, tp-True-3-2-0
39, poland, vinnytska, E-13-f-vinnytska, tp-True-5-2-1
39, poland, vinnytska, E-16-m-vinnytska, tp-True-5-2-1
39, poland, vinnytska, E-61-f-vinnytska, tp-True-5-2-1
39, bulgaria, kyiv, E-12-f-kyiv, tp-True-2-2-0
39, bulgaria, kyiv, E-57-m-kyiv, tp-True-2-2-0
39, denmark, khmelnytska, E-51-f-khmelnytska, tp-True-2-2-1
39, denmark, khmelnytska, E-36-m-khmelnytska, tp-True-2-2-1
39, denmark, khmelnytska, E-11-m-khmelnytska, tp-True-2-2-1
43, poland, vinnytska, E-11-m-vinnytska, tp-True-5-3-1
43, poland, vinnytska, E-10-f-vinnytska, tp-True-5-3-1
43, poland, vinnytska, E-23-m-vinnytska, tp-True-5-3-1
43, poland, vinnytska, E-10-m-vinnytska, tp-True-5-3-1
